"","zip","scrapedate","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Energimrke","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Tidligere_salgspris","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Boligydelse","Forbrugsafh__forhold","Teknisk_pris"
"1","6200 Aabenraa","2022-08-12","93 m²","101 m²","408 m²","6/5","2","1926","G","940 kr.","5.396 kr.","413 dage","Vis historik","30.000 kr.","2.678 kr.","2.198 kr.",NA,NA,NA,NA,NA
"2","6200 Aabenraa","2022-08-12","106 m²","115 m²","733 m²","3/2","1","1967","E",NA,NA,NA,"Vis historik","35.000 kr.","3.731 kr.","2.995 kr.",NA,NA,NA,NA,NA
"3","6200 Aabenraa","2022-08-12","108 m²","146 m²","681 m²","3/1","2","1963","C","1.885 kr.","8.185 kr.","102 dage","Vis historik","60.000 kr.","5.976 kr.","4.909 kr.","1974","84 m²",NA,NA,NA
"4","6200 Aabenraa","2022-08-12","171 m²","172 m²","723 m²","4/2","2","1927","D","1.159 kr.","6.948 kr.","188 dage",NA,"60.000 kr.","6.384 kr.","5.126 kr.","1990",NA,NA,NA,NA
"5","6200 Aabenraa","2022-08-12","153 m²","132 m²","163 m²","4/2","3","1780","F","1.381 kr.","7.538 kr.","124 dage",NA,"50.000 kr.","5.320 kr.","4.269 kr.","1973","16 m²",NA,NA,NA
"6","6200 Aabenraa","2022-08-12","170 m²","183 m²","1.888 m²","6/4",NA,"1968","E","1.581 kr.","6.530 kr.","98 dage",NA,"60.000 kr.","5.964 kr.","4.898 kr.",NA,NA,NA,NA,NA
"7","6200 Aabenraa","2022-08-12","136 m²","202 m²","1.162 m²","6/4","3","1953","D","1.446 kr.","7.896 kr.","143 dage",NA,"80.000 kr.","9.232 kr.","7.275 kr.","1965","87 m²",NA,NA,NA
"8","6200 Aabenraa","2022-08-12","153 m²","167 m²","872 m²","5/3","3","1950","D",NA,NA,NA,"Vis historik","40.000 kr.","3.858 kr.","3.095 kr.","1979","5 m²",NA,NA,NA
"9","6200 Aabenraa","2022-08-12","185 m²","216 m²","712 m²","5/4","2","1928","E","1.325 kr.","6.921 kr.","172 dage",NA,"75.000 kr.","8.658 kr.","6.823 kr.",NA,NA,NA,NA,NA
"10","9440 Aabybro","2022-08-12","202 m²","200 m²","5.500 m²","5/3","2","1887",NA,"1.187 kr.","1.995 kr.","2.093 dage",NA,"25.000 kr.","2.146 kr.","1.717 kr.",NA,NA,NA,NA,NA
"11","9440 Aabybro","2022-08-12","180 m²","223 m²","736 m²","5/4","2","1900","E","1.814 kr.","2.220 kr.","147 dage",NA,"25.000 kr.","2.674 kr.","2.137 kr.",NA,NA,NA,NA,NA
"12","3720 Aakirkeby","2022-08-12","105 m²","107 m²","261 m²","4/2","3","1914","D","1.381 kr.","6.495 kr.","98 dage",NA,"35.000 kr.","3.726 kr.","2.975 kr.","1980","10 m²",NA,NA,NA
"13","9620 Aalestrup","2022-08-12","95 m²","145 m²","505 m²","3/2","3","1942","D","1.205 kr.","3.434 kr.","477 dage","Vis historik","25.000 kr.","2.497 kr.","2.051 kr.",NA,"65 m²",NA,NA,NA
"14","9620 Aalestrup","2022-08-12","138 m²","145 m²","895 m²","5/4","1","1963","E","1.342 kr.","2.745 kr.","623 dage",NA,"25.000 kr.","2.151 kr.","1.729 kr.",NA,NA,NA,NA,NA
"15","9600 Aars","2022-08-12","83 m²","119 m²","704 m²","3/2","2","1960","D","1.062 kr.","5.874 kr.","794 dage",NA,"35.000 kr.","3.903 kr.","3.107 kr.",NA,"83 m²",NA,NA,NA
"16","9600 Aars","2022-08-12","188 m²","194 m²","2.088 m²","5/3","2","1905","F",NA,NA,NA,NA,"25.000 kr.","2.664 kr.","2.118 kr.","1985",NA,NA,NA,NA
"17","9600 Aars","2022-08-12","112 m²","178 m²","3.142 m²","4/3","3","1925","E","1.361 kr.","3.904 kr.","1.654 dage",NA,"35.000 kr.","3.749 kr.","2.984 kr.","1977","6 m²",NA,NA,NA
"18","5560 Aarup","2022-08-12","188 m²","220 m²","10.000 m²","6/4","1","1862","D","1.629 kr.","7.705 kr.","129 dage","Vis historik","85.000 kr.","8.244 kr.","6.741 kr.","2006",NA,NA,NA,NA
"19","5560 Aarup","2022-08-12","232 m²","242 m²","1.017 m²","5/4","1","1978","C","2.580 kr.","9.897 kr.","136 dage","Vis historik","120.000 kr.","11.573 kr.","9.463 kr.","2004","50 m²",NA,NA,NA
"20","5560 Aarup","2022-08-12","77 m²","90 m²","263 m²","3/2","3","1880","D",NA,NA,NA,NA,"25.000 kr.","2.674 kr.","2.136 kr.",NA,"30 m²",NA,NA,NA
"21","5560 Aarup","2022-08-12","229 m²","256 m²","3.655 m²","7/4","1","2002","C","2.933 kr.","14.043 kr.","86 dage",NA,"180.000 kr.","20.716 kr.","16.239 kr.","2010","21 m²",NA,NA,NA
"22","5560 Aarup","2022-08-12","164 m²",NA,"735 m²","4/3","2","1964","E","1.681 kr.","6.067 kr.","105 dage",NA,"50.000 kr.","4.954 kr.","4.051 kr.","1975",NA,NA,NA,NA
"23","5560 Aarup","2022-08-12","116 m²","126 m²","600 m²","4/3","1","1963","E","1.245 kr.","6.310 kr.","301 dage",NA,"40.000 kr.","3.905 kr.","3.202 kr.","1972",NA,NA,NA,NA
"24","5560 Aarup","2022-08-12","165 m²","189 m²","714 m²","7/5","1","1964","D","1.751 kr.","10.026 kr.","161 dage",NA,"95.000 kr.","10.062 kr.","8.041 kr.",NA,"50 m²",NA,NA,NA
"25","5320 Agedrup","2022-08-12","287 m²","291 m²","1.346 m²","12/10","2","1900","D","2.634 kr.","13.729 kr.","449 dage",NA,"200.000 kr.","21.285 kr.","17.155 kr.","2006",NA,NA,NA,NA
